Timestamp,Город,Тип занятости,Формат работы,Департамент / специализация,Позиция / уровень,Опыт в индустрии (лет),Возраст,Средний доход в месяц в USD,Указан доход до налогов или после,Часы в неделю,Оплата переработок,Сфера,Основной софт
2/23/2026 4:09:40,Москва,Контрактор / фрилансер,Удалённо,Композер,Senior,10–14,40–44,5000,После налогов,40,Да,"Кино, Сериалы / ТВ",Nuke
2/26/2026 1:51:23,Санкт-Петербург,Контрактор / фрилансер,Удалённо,CG / cinematics / unreal engine,Supervisor,6–9,35–39,3000,До налогов,До 40,Нет,"Кино, Сериалы / ТВ, Игры",Unreal Engine
2/26/2026 3:04:29,Алматы,Контрактор / фрилансер,Удалённо,lead 3d character artist,Lead,3–5,35–39,5000,После налогов,41–50,Да,"Кино, Игры",Blender
2/19/2026 7:04:59,Дальний Восток,Контрактор / фрилансер,Удалённо,Compositing artist,Junior,0–2,До 25,900,После налогов,41–50,Иногда,"Кино, Сериалы / ТВ, Реклама",Nuke
2/19/2026 12:52:46,Подгорица,Контрактор / фрилансер,Удалённо,Lookdev / lighting,Middle,6–9,30–34,2900,До налогов,До 40,Да,"Кино, Анимация","Houdini, Maya"
2/20/2026 3:33:27,Ларнака,Контрактор / фрилансер,Удалённо,Compositing,Senior,15+,40–44,6000,До налогов,50+,Иногда,"Кино, Сериалы / ТВ, Реклама",Nuke
2/22/2026 14:57:16,Франкфурт,Штатный сотрудник,Гибрид,3d gameplay/cinematic animator,Senior,6–9,40–44,4650,До налогов,40,Нет,"Игры, Анимация",Maya
2/25/2026 22:23:51,Новороссийск,Контрактор / фрилансер,Гибрид,Моушен дизайн,Middle,6–9,35–39,1000,После налогов,До 40,Иногда,"Игры, Анимация, Ивенты","Blender, Unreal, AE, DaVinci"
2/25/2026 23:44:50,Пуэрто-Галера,Контрактор / фрилансер,Удалённо,3d artist,Senior,6–9,30–34,2000,После налогов,До 40,Нет,Игры,"ZBrush, Maya, Substance Painter"
2/25/2026 23:51:12,Альметьевск,Штатный сотрудник,Удалённо,Motion designer,Middle,3–5,30–34,1560,После налогов,41–50,Иногда,"Реклама, Ивенты",After Effects
2/26/2026 1:55:00,Нижний Новгород,Контрактор / фрилансер,Удалённо,Motion Design,Middle,3–5,30–34,500,После налогов,До 40,Иногда,"Анимация, Ивенты",After Effects
2/26/2026 1:46:04,Екатеринбург,Контрактор / фрилансер,Удалённо,генералист,Middle,3–5,30–34,3800,После налогов,40,Нет,"Анимация, Ивенты","AE, Blender"
2/26/2026 0:34:50,Ташкент,Своя компания,Гибрид,VFX/3D/AI,Supervisor,15+,45+,5000,После налогов,50+,Нет,"Кино, Сериалы / ТВ, Реклама, Анимация","Maya, Nuke, AE, DaVinci"
2/26/2026 0:44:50,Минск,Штатный сотрудник,В студии,CG Generalist,Middle,3–5,До 25,1200,До налогов,40,Иногда,"Реклама, Анимация",Houdini
2/26/2026 1:07:27,Цюрих,Штатный сотрудник,Удалённо,Gaming,Senior,10–14,30–34,16300,После налогов,40,Нет,Игры,3Ds Max
2/26/2026 1:17:30,Ставрополь,Контрактор / фрилансер,Удалённо,3D Cinematic / 2D 3D Motion,Middle,3–5,До 25,1500,До налогов,40,Да,"Игры, Анимация","Blender, Adobe"
2/26/2026 1:49:51,Ереван,Штатный сотрудник,Удалённо,VFX,Senior,6–9,40–44,4000,После налогов,41–50,Иногда,"Кино, Сериалы / ТВ","Houdini, Nuke"
2/26/2026 1:45:06,Батуми,Контрактор / фрилансер,Удалённо,Art director / 3D Generalist,Lead,6–9,30–34,5000,После налогов,До 40,Нет,Реклама,"Cinema 4D, Adobe"
2/26/2026 1:45:16,Тбилиси,Контрактор / фрилансер,Удалённо,3D generalist,Middle,3–5,25–29,2300,После налогов,41–50,Да,"Кино, Реклама",Houdini
2/26/2026 1:46:35,Абакан,Своя компания,Удалённо,3D / пром. дизайн / видео,Head of Department,15+,35–39,19500,После налогов,До 40,Да,Реклама,"Photoshop, Lightroom, FCPX, Blender"
2/26/2026 1:47:05,Тула,Контрактор / фрилансер,Удалённо,Motion design,Middle,3–5,25–29,1300,До налогов,40,Иногда,"Реклама, Анимация","Cinema 4D, After Effects"
2/26/2026 1:48:30,Красноярск,Контрактор / фрилансер,В студии,3D Generalist,Middle,0–2,До 25,2000,До налогов,До 40,Иногда,Сайты,Blender
2/26/2026 2:14:51,Польша,Штатный сотрудник,Удалённо,цг реклама / синьер и супервайзер,Senior,6–9,30–34,3700,После налогов,40,Да,"Реклама, Игры, Анимация","C4D, Redshift"
2/26/2026 1:53:15,Новосибирск,Контрактор / фрилансер,Удалённо,Креативный и арт-дирекшн,Head of Department,10–14,30–34,7000,После налогов,41–50,Да,"Реклама, Ивенты",Photoshop
